run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_category,stimulus_name,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
76,1,TRUE,FALSE,[],[],[],preload,0,8449,0.0-0.0,"""","""","""","""","""",1/20/22 08:42,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",Macintosh,Safari,13.1.2,OS X,10_13_6,f7e57e9040e78092bdde0f8548ac41fd
76,1,"""","""","""","""","""",html-keyboard-response,1,12625,0.0-1.0,4155,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 15 minutes to complete. Please complete it in one sitting. You must use Safari browser. When you are done with the experiment, take note of the completion code displayed at the end, to enter on MTurk!</p>", ,"""","""",1/20/22 08:42,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",Macintosh,Safari,13.1.2,OS X,10_13_6,f7e57e9040e78092bdde0f8548ac41fd
76,1,"""","""","""","""","""",html-keyboard-response,2,22575,0.0-2.0,9923,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this HIT, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this HIT, you must read all the questions fully and answer honestly. You may only complete this HIT once. If you complete this HIT multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This HIT is part of a MIT scientific research project. Your decision to complete this HIT is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this HIT voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",y,"""","""",1/20/22 08:42,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",Macintosh,Safari,13.1.2,OS X,10_13_6,f7e57e9040e78092bdde0f8548ac41fd
76,1,"""","""","""","""","""",survey-text,3,63528,0.0-3.0,40926,"""","{""instructions1"":""collect a bucket of water from a water source""}",instructions,"""",1/20/22 08:42,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",Macintosh,Safari,13.1.2,OS X,10_13_6,f7e57e9040e78092bdde0f8548ac41fd
76,1,"""","""","""","""","""",survey-text,4,215442,0.0-4.0,151866,"""","{""instructions2"":""when all 8 people collect water and store it in a bucket""}",instructions,"""",1/20/22 08:42,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",Macintosh,Safari,13.1.2,OS X,10_13_6,f7e57e9040e78092bdde0f8548ac41fd
76,1,"""","""","""","""","""",survey-text,5,249681,0.0-5.0,34232,"""","{""instructions3"":""1""}",instructions,"""",1/20/22 08:42,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",Macintosh,Safari,13.1.2,OS X,10_13_6,f7e57e9040e78092bdde0f8548ac41fd
76,1,"""","""","""","""","""",video-button-response,6,306060,0.0-6.0,56163,"[""video/yes_line_8_1cut.mp4""]",1,yes_1,video/yes_line_8_1cut.mp4,1/20/22 08:42,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",Macintosh,Safari,13.1.2,OS X,10_13_6,f7e57e9040e78092bdde0f8548ac41fd
76,1,"""","""","""","""","""",video-button-response,7,337257,0.0-7.0,31167,"[""video/maybe_line_6_3cut.mp4""]",0,maybe_34,video/maybe_line_6_3cut.mp4,1/20/22 08:42,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",Macintosh,Safari,13.1.2,OS X,10_13_6,f7e57e9040e78092bdde0f8548ac41fd
76,1,"""","""","""","""","""",video-button-response,8,364714,0.0-8.0,27430,"[""video/yes_line_7_1cut.mp4""]",1,yes_1,video/yes_line_7_1cut.mp4,1/20/22 08:42,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",Macintosh,Safari,13.1.2,OS X,10_13_6,f7e57e9040e78092bdde0f8548ac41fd
76,1,"""","""","""","""","""",video-button-response,9,404075,0.0-9.0,39331,"[""video/yes_line_7_4cut.mp4""]",0,yes_34,video/yes_line_7_4cut.mp4,1/20/22 08:42,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",Macintosh,Safari,13.1.2,OS X,10_13_6,f7e57e9040e78092bdde0f8548ac41fd
