run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,trial_category,stimulus_name,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
37,1,TRUE,FALSE,[],[],[],preload,0,35619,0.0-0.0,"""","""","""","""","""",1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",html-keyboard-response,1,47657,0.0-1.0,12032,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 15 minutes to complete. Please complete it in one sitting. You must use Safari browser. When you are done with the experiment, take note of the completion code displayed at the end, to enter on MTurk!</p>", ,"""","""",1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",html-keyboard-response,2,64288,0.0-2.0,16630,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this HIT, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this HIT, you must read all the questions fully and answer honestly. You may only complete this HIT once. If you complete this HIT multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This HIT is part of a MIT scientific research project. Your decision to complete this HIT is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this HIT voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",y,"""","""",1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",survey-text,3,237346,0.0-3.0,172993,"""","{""instructions1"":""collect one bucket of water for each level from a water source and bring it back to the wooden storage buckets""}",instructions,"""",1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",survey-text,4,294219,0.0-4.0,56855,"""","{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}",instructions,"""",1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",survey-text,5,434567,0.0-5.0,140343,"""","{""instructions3"":""a specific person on each video""}",instructions,"""",1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",video-button-response,6,518596,0.0-6.0,83975,"[""video/yes_line_10_3cut.mp4""]",0,yes_34,video/yes_line_10_3cut.mp4,1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",video-button-response,7,536065,0.0-7.0,17459,"[""video/no_line_1_3cut.mp4""]",0,no_34,video/no_line_1_3cut.mp4,1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",video-button-response,8,574833,0.0-8.0,38744,"[""video/maybe_line_5_4cut.mp4""]",0,maybe_34,video/maybe_line_5_4cut.mp4,1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",video-button-response,9,598081,0.0-9.0,23222,"[""video/no_line_2_4cut.mp4""]",0,no_34,video/no_line_2_4cut.mp4,1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",video-button-response,10,617648,0.0-10.0,19545,"[""video/no_line_3_3cut.mp4""]",0,no_34,video/no_line_3_3cut.mp4,1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",video-button-response,11,672547,0.0-11.0,54875,"[""video/yes_line_10_1cut.mp4""]",0,yes_1,video/yes_line_10_1cut.mp4,1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",video-button-response,12,719398,0.0-12.0,46826,"[""video/maybe_line_6_3cut.mp4""]",0,maybe_34,video/maybe_line_6_3cut.mp4,1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",video-button-response,13,736814,0.0-13.0,17388,"[""video/maybe_line_4_4cut.mp4""]",0,maybe_34,video/maybe_line_4_4cut.mp4,1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
37,1,"""","""","""","""","""",video-button-response,14,764965,0.0-14.0,28129,"[""video/no_line_3_8cut.mp4""]",0,no_8,video/no_line_3_8cut.mp4,1/20/22 02:53,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Macintosh,Safari,15.2,OS X,10_15_7,f7e57e9040e78092bdde0f8548ac41fd
