run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,ID,rt,stimulus,response,trial_category,start,slider_start,stimulus_name,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
12,1,"""","""","""","""","""",video-slider-response,10,467071,0.0-10.0,semep0hq8,18686,"[""video/maybe_line_new_2_1cut.mp4""]",50,maybe_1,null,0,video/maybe_line_new_2_1cut.mp4,2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
12,1,"""","""","""","""","""",video-slider-response,11,479751,0.0-11.0,semep0hq8,12668,"[""video/maybe_line_new_5_1cut.mp4""]",-50,maybe_1,null,0,video/maybe_line_new_5_1cut.mp4,2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
12,1,"""","""","""","""","""",video-slider-response,12,490435,0.0-12.0,semep0hq8,10676,"[""video/yes_line_9_1cut.mp4""]",-50,yes_1,null,0,video/yes_line_9_1cut.mp4,2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
12,1,"""","""","""","""","""",video-slider-response,13,497446,0.0-13.0,semep0hq8,6999,"[""video/maybe_line_new_3_1cut.mp4""]",50,maybe_1,null,0,video/maybe_line_new_3_1cut.mp4,2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
12,1,"""","""","""","""","""",video-slider-response,14,509604,0.0-14.0,semep0hq8,12150,"[""video/maybe_line_new_4_1cut.mp4""]",-50,maybe_1,null,0,video/maybe_line_new_4_1cut.mp4,2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
12,1,"""","""","""","""","""",video-slider-response,15,522233,0.0-15.0,semep0hq8,12613,"[""video/maybe_line_new_1_1cut.mp4""]",-50,maybe_1,null,0,video/maybe_line_new_1_1cut.mp4,2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
12,1,"""","""","""","""","""",video-slider-response,16,530196,0.0-16.0,semep0hq8,7956,"[""video/no_line_3_1cut.mp4""]",50,no_1,null,0,video/no_line_3_1cut.mp4,2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
12,1,"""","""","""","""","""",video-slider-response,17,539568,0.0-17.0,semep0hq8,9351,"[""video/yes_line_7_1cut.mp4""]",-50,yes_1,null,0,video/yes_line_7_1cut.mp4,2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
12,1,"""","""","""","""","""",video-slider-response,18,547676,0.0-18.0,semep0hq8,8101,"[""video/yes_line_10_1cut.mp4""]",-50,yes_1,null,0,video/yes_line_10_1cut.mp4,2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
12,1,"""","""","""","""","""",survey-html-form,19,573869,0.0-19.0,semep0hq8,26184,"""","[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""No problems at all!""},{""name"":""age"",""value"":""44""},{""name"":""gender"",""value"":""male""},{""name"":""comments"",""value"":""MTURK ID:   A2VAL2BRKVSUB5""}]",debrief,"""","""","""",2022-01-26 04:22:23,73.80.90.55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
