run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,ID,rt,stimulus,response,trial_category,stimulus_name,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
12,1,"""","""","""","""","""",video-button-response,10,407709,0.0-10.0,ek64c2hy2,30675,"[""video/yes_line_7_0cut.mp4""]",1,yes_0,video/yes_line_7_0cut.mp4,2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",survey-html-form,11,430517,0.0-11.0,ek64c2hy2,22805,"""","[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""none""},{""name"":""age"",""value"":""51""},{""name"":""gender"",""value"":""male""},{""name"":""comments"",""value"":""no""}]",debrief,"""",2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
12,1,"""","""","""","""","""",survey-text,12,456262,0.0-12.0,ek64c2hy2,25739,"""","{""Q0"":""ek64c2hy2""}","""","""",2022-01-29 00:48:29,73.175.0.76,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,true,false,[],[],[],preload,0,1354,0.0-0.0,663sel4nw,"""","""","""","""","""",2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",html-keyboard-response,1,4588,0.0-1.0,663sel4nw,3214,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 10 minutes to complete. Please complete it in one sitting.</p>", ,"""","""",2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",html-keyboard-response,2,5231,0.0-2.0,663sel4nw,642,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this HIT, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this HIT, you must read all the questions fully and answer honestly. You may only complete this HIT once. If you complete this HIT multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This HIT is part of a MIT scientific research project. Your decision to complete this HIT is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this HIT voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",y,"""","""",2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",survey-text,3,20185,0.0-3.0,663sel4nw,14923,"""","{""instructions1"":""bring water from the source to the storage""}",instructions,"""",2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",survey-text,4,34776,0.0-4.0,663sel4nw,14574,"""","{""instructions2"":""when 8 people have brought water from source to the storage""}",instructions,"""",2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",survey-text,5,71429,0.0-5.0,663sel4nw,36647,"""","{""instructions3"":""they have to decide to wait in line or head right for the source""}",instructions,"""",2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",survey-text,6,90746,0.0-6.0,663sel4nw,19307,"""","{""instructions4"":""they didn't have to decide before hand what they are going to do""}",instructions,"""",2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",video-button-response,7,110137,0.0-7.0,663sel4nw,19387,"[""video/yes_line_7_1cut.mp4""]",1,yes_1,video/yes_line_7_1cut.mp4,2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",video-button-response,8,129022,0.0-8.0,663sel4nw,18880,"[""video/no_line_1_0cut.mp4""]",1,no_0,video/no_line_1_0cut.mp4,2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",video-button-response,9,162035,0.0-9.0,663sel4nw,33009,"[""video/no_line_1_1cut.mp4""]",1,no_1,video/no_line_1_1cut.mp4,2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",video-button-response,10,189912,0.0-10.0,663sel4nw,27870,"[""video/yes_line_7_0cut.mp4""]",1,yes_0,video/yes_line_7_0cut.mp4,2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",survey-html-form,11,194984,0.0-11.0,663sel4nw,5068,"""","[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""none""},{""name"":""age"",""value"":""42""},{""name"":""gender"",""value"":""male""},{""name"":""comments"",""value"":""}]",debrief,"""",2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
16,1,"""","""","""","""","""",survey-text,12,198733,0.0-12.0,663sel4nw,3737,"""","{""Q0"":""663sel4nw ""}","""","""",2022-01-29 00:53:03,67.180.106.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,true,false,[],[],[],preload,0,603,0.0-0.0,6k95upfm1,"""","""","""","""","""",2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",html-keyboard-response,1,119283,0.0-1.0,6k95upfm1,118678,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 10 minutes to complete. Please complete it in one sitting.</p>", ,"""","""",2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",html-keyboard-response,2,124584,0.0-2.0,6k95upfm1,5301,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this HIT, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this HIT, you must read all the questions fully and answer honestly. You may only complete this HIT once. If you complete this HIT multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This HIT is part of a MIT scientific research project. Your decision to complete this HIT is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this HIT voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",y,"""","""",2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
18,1,"""","""","""","""","""",survey-text,3,193462,0.0-3.0,6k95upfm1,68870,"""","{""instructions1"":""The goal is for each person to collect water from the source and bring it back to the wooden storage buckets.""}",instructions,"""",2022-01-29 00:54:31,71.71.214.155,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",WebKit,Edge,97.0.1072.69,Windows,10.0,667187245be6ec34b92381730ecb5f9e
