stimulus_name,count_1,count_total
"""",0,415.0
yes_line_8_1cut,0,52.0
yes_line_9_1cut,3,52.0
maybe_line_new_3_1cut,0,52.0
yes_line_10_1cut,1,52.0
maybe_line_new_5_1cut,0,52.0
maybe_line_new_1_1cut,4,52.0
no_line_2_1cut,1,52.0
yes_line_7_1cut,1,52.0
maybe_line_new_4_1cut,1,52.0
no_line_3_1cut,4,52.0
maybe_line_new_6_1cut,0,52.0
maybe_line_new_2_1cut,1,52.0
no_line_1_1cut,1,52.0
